# #x[m], y[m], z[m], pressure[Pa], gas saturation[-], mass fraction of CO2 in liquid[-], mass fraction of H2O in vapor[-], phase mass density gas[kg/m3], phase mass density water [kg/m3], total mass CO2[kg]
# 
2.450e+02, 5.000e-01, -7.950e+02, 4.510e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.110e+02, 1.003e+03, 3.370e-02
2.450e+02, 5.000e-01, -7.650e+02, 4.480e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.112e+02, 1.003e+03, 3.370e-02
2.450e+02, 5.000e-01, -7.350e+02, 4.450e+07, 0.000e+00, 4.106e-05, 0.000e+00, 9.113e+02, 1.003e+03, 1.384e+00
2.450e+02, 5.000e-01, -7.050e+02, 4.402e+07, 0.000e+00, 8.640e-03, 0.000e+00, 9.110e+02, 1.005e+03, 5.839e+02
2.450e+02, 5.000e-01, -6.750e+02, 4.372e+07, 0.000e+00, 2.795e-04, 0.000e+00, 9.119e+02, 1.003e+03, 1.885e+01
2.450e+02, 5.000e-01, -6.450e+02, 4.343e+07, 0.000e+00, 3.016e-06, 0.000e+00, 9.128e+02, 1.004e+03, 2.034e-01
2.450e+02, 5.000e-01, -6.150e+02, 4.313e+07, 0.000e+00, 1.010e-06, 0.000e+00, 9.138e+02, 1.004e+03, 6.814e-02
2.450e+02, 5.000e-01, -5.850e+02, 4.284e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.147e+02, 1.004e+03, 6.748e-02
2.450e+02, 5.000e-01, -5.550e+02, 4.254e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.157e+02, 1.004e+03, 6.749e-02
2.450e+02, 5.000e-01, -5.250e+02, 4.225e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.167e+02, 1.004e+03, 6.750e-02
2.450e+02, 5.000e-01, -4.950e+02, 4.195e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.178e+02, 1.005e+03, 6.752e-02
